prompt,actual_answer,response,most_similar_answer,is_most_similar_actual,question,cosine_similarity_with_actual_answer,bleu_score
,"Macrolides are a class of antibiotics that are often used to treat bacterial infections, including acute otitis media (AOM). In some cases, they may be considered the preferred treatment option for AOM in patients who have previously experienced an immediate allergic reaction to a penicillin antibiotic. This is because penicillins are the first-line treatment for AOM, but they can cause allergic reactions in some patients. In these cases, macrolides may be a safer alternative, as they are less likely to cause allergic reactions. However, it is important for healthcare providers to carefully evaluate each patient's medical history and individual needs before making a treatment decision.","Predicted Answer    Bipolar I disorder is a disorder of the genita...
Name: 10, dtype: object","Clarithromycin is the second-line treatment for Acute Rheumatic Fever in patients with penicillin allergy. Penicillin is the first-line treatment for Acute Rheumatic Fever, but in patients with a penicillin allergy, clarithromycin can be used as an alternative. Clarithromycin is a macrolide antibiotic that is effective against the bacteria that cause Acute Rheumatic Fever. It is important to note, however, that penicillin is the preferred treatment and should be used whenever possible, as it is more effective and has fewer side effects than clarithromycin.",False,"In what situation would macrolides be considered the preferred treatment for acute otitis media (AOM), and why?",-0.017952725137002176,0.0022632070962058746
,"Bilateral wheezing can occur in acute PE due to cytokine-induced bronchoconstriction in response to hypoxia and infarction. PE is a condition in which a blood clot (usually from the legs) travels to the lungs and blocks blood flow, causing a decrease in oxygen levels. This can lead to a release of cytokines, which are proteins that can cause inflammation and bronchoconstriction (narrowing of the airways) in the lungs. As a result, some patients with acute PE may experience wheezing, which is a high-pitched whistling sound that occurs when air flows through narrowed airways. Other symptoms of acute PE may include chest pain, shortness of breath, rapid heart rate, and coughing up blood. If left untreated, acute PE can be life-threatening, so it is important to seek medical attention immediately if you experience any of these symptoms.","Predicted Answer    Insulin is a metabolite of sorbitol, a metabol...
Name: 11, dtype: object","No, pulmonary embolism typically does not cause low glucose levels or low pH in pleural fluid.",False,What is the potential cause of bilateral wheezing in acute pulmonary embolism (PE)?,-0.0006054449949146681,0.0032243409068721672
,"Sideroblastic anemia is a type of anemia that occurs when the body has a decreased ability to produce healthy red blood cells. One potential cause of sideroblastic anemia is a deficiency in vitamin B6. Vitamin B6 is necessary for the proper function of enzymes involved in heme synthesis, and a deficiency can lead to the development of sideroblastic anemia. Other possible causes of sideroblastic anemia include genetic mutations and certain medications.","Predicted Answer    Symptoms of angiosarcomas are: a complication ...
Name: 12, dtype: object","Sideroblastic anemia is a type of anemia that is characterized by impaired heme synthesis in the bone marrow. The underlying cause of this type of anemia is defective protoporphyrin synthesis, which can lead to the accumulation of iron in the mitochondria of erythroid precursors and the formation of abnormal red blood cells. Sideroblastic anemia can be inherited or acquired, and may be associated with a variety of underlying conditions, including genetic mutations, drug toxicity, or vitamin deficiencies.",False,What is sideroblastic anemia and what is one potential cause of this condition?,0.10321390773315117,0.0031417596289969145
,A BMI of less than 15 kg/m2 is an indication for hospitalization of a patient with anorexia nervosa.,"Predicted Answer    pulmonary pulmonary thrombosis
Name: 13, dtype: object","Patients with anorexia nervosa commonly present with bradycardia, hypotension, and decreased bowel sounds.",False,What is the BMI threshold that warrants hospitalization of a patient with anorexia nervosa?,-0.038475243740779444,0.0
,"A subdural hematoma is a type of brain injury that occurs when blood collects between the dura mater (the outermost layer of the brain) and the arachnoid mater (the middle layer of the brain) due to tearing of the bridging veins that lie between them. On a CT scan, a subdural hematoma is typically identified by a crescent-shaped hemorrhage, which is caused by the accumulation of blood in the space between the dura and arachnoid. The size and location of the hematoma can vary, and the severity of symptoms can depend on these factors. Treatment may involve surgery to remove the hematoma and relieve pressure on the brain.","Predicted Answer    Passive congestion is a common form of congest...
Name: 14, dtype: object","A subdural hematoma is a type of brain injury that occurs when blood collects between the dura mater (the outermost layer of the brain) and the arachnoid mater (the middle layer of the brain). This type of hematoma is caused by tearing of the bridging veins that lie between the dura and arachnoid, which can occur as a result of trauma to the head or other medical conditions that cause the brain to move within the skull. The accumulation of blood can put pressure on the brain and cause symptoms such as headache, confusion, and loss of consciousness.",False,"What is a subdural hematoma, and how is it typically identified on a CT scan?",0.11248309347828461,0.003806245468352579
,"Primary hyperaldosteronism may present with increased renal blood flow and increased glomerular filtration rate. This is due to the excess production of aldosterone by the adrenal glands, which can lead to increased sodium retention and potassium excretion in the kidneys. As a result, there is an increase in blood volume and pressure, which can lead to changes in renal blood flow and glomerular filtration rate. However, the presentation of primary hyperaldosteronism can vary and may not always involve these specific changes in renal function. Other potential symptoms may include hypertension, muscle weakness, and fatigue. Treatment typically involves medications to manage blood pressure and/or surgery to remove the affected adrenal gland(s).","Predicted Answer    O2 is a syphilia-like inflammatory response th...
Name: 15, dtype: object","Primary hyperaldosteronism is characterized by low renin and high aldosterone levels. This is due to the excess production of aldosterone by the adrenal glands, which can suppress the production of renin in the kidneys. Renin is an enzyme that plays a key role in regulating blood pressure and fluid balance by triggering the release of aldosterone. However, in primary hyperaldosteronism, the excess aldosterone production leads to a negative feedback loop that suppresses renin production. As a result, blood pressure and fluid balance can become dysregulated, leading to potential symptoms such as hypertension, muscle weakness, and fatigue. Treatment typically involves medications to manage blood pressure and/or surgery to remove the affected adrenal gland(s).",False,What are the potential presentations of primary hyperaldosteronism in terms of renal blood flow and glomerular filtration rate?,0.09483784027062452,0.0018950957323528377
,"No, Rhinovirus is not enveloped. It is classified as a naked virus, which means that it does not have a lipid envelope surrounding its nucleocapsid. Instead, the viral genome is enclosed by a protein shell called a capsid, which provides protection and helps the virus to enter host cells. The lack of an envelope makes Rhinovirus more resistant to some disinfectants, but also more susceptible to environmental factors such as heat and pH changes.","Predicted Answer    Symptoms of fibrinous pericarditis include: a ...
Name: 16, dtype: object","Yes, Coronavirus is enveloped. It has a lipid envelope that surrounds its protein coat, which protects its genetic material and facilitates its entry into host cells. The envelope is studded with spike proteins that give the virus its characteristic appearance and play a key role in its ability to infect cells. The lipid envelope also makes the virus vulnerable to certain disinfectants and environmental conditions, which can help to prevent its spread.",False,Is Rhinovirus an enveloped virus?,0.10877265965177092,0.0028718620586135005
,"Vitamin B3 (niacin) is used to treat dyslipidemia, a condition characterized by abnormal levels of lipids (such as cholesterol and triglycerides) in the blood. Niacin is a water-soluble vitamin that plays a key role in various metabolic processes in the body, including the metabolism of carbohydrates, fats, and proteins. It is also used to lower the risk of cardiovascular disease in individuals with high cholesterol levels. Niacin can be obtained through the diet or through supplements. However, it is important to consult a healthcare professional before taking niacin supplements, as high doses can have adverse effects on the liver and other organs.","Predicted Answer    Post-URI, acute-onset, constant vertigo, N/V, ...
Name: 17, dtype: object","Nitroprusside is a medication that causes vasodilation via nitric oxide, which is useful during the treatment of hypertensive emergency.",False,What medical condition is treated with Vitamin B3 (niacin)?,0.00680584911540396,0.0023024004709069155
,Unstable angina has a high risk of progression to myocardial infarction.,"Predicted Answer    adenosis
Name: 18, dtype: object",Stable angina is typically associated with ST depression on an ECG.,False,What is the potential risk associated with unstable angina?,0.06857700259496688,0.0
,"The name of the insulin-independent transporter that is found exclusively in the brain and placenta is GLUT3. This glucose transporter protein is expressed in various cells of the brain and placenta, and is responsible for the facilitated diffusion of glucose across the cell membrane. GLUT3 is not regulated by insulin and is involved in basal glucose uptake in cells that do not require insulin for glucose transport. In the brain, GLUT3 plays a critical role in glucose transport across the blood-brain barrier and is responsible for the high rate of glucose consumption by neurons. In the placenta, GLUT3 is necessary for the transport of glucose from the maternal circulation to the developing fetus. Dysregulation of GLUT3 expression or function has been implicated in various neurological disorders, including epilepsy and Alzheimer's disease.","Predicted Answer    NaN
Name: 19, dtype: object","Glucose and amino acids can cross the blood-brain barrier, and they typically do so slowly via carrier-mediated transport mechanisms.",False,What is the name of the insulin-independent transporter that is found exclusively in the brain and placenta?,0.015297030182326556,0.0012657193710418327
,"Pyoderma gangrenosum is a rare skin condition that is often associated with inflammatory bowel disease, particularly Crohn's disease. It is characterized by the development of painful, rapidly progressing skin ulcers that can occur anywhere on the body. The exact cause of pyoderma gangrenosum is not fully understood, but it is thought to be an autoimmune disorder in which the body's immune system attacks healthy tissue. In people with Crohn's disease, pyoderma gangrenosum may be a result of the underlying inflammation and immune dysfunction associated with the condition. The ulcers associated with pyoderma gangrenosum typically progress over the course of about 1 month, and may require treatment with immunosuppressive drugs or other medications to help manage symptoms and promote healing.","Predicted Answer    The acyl-CoA dehydrogenase is a metabolite of ...
Name: 20, dtype: object","Crohn's disease is the type of IBD that is often associated with perianal disease, phlegmon/abscess formation, and strictures.

Crohn's disease is a type of IBD that can cause inflammation in any part of the digestive tract, from the mouth to the anus. One of the distinguishing features of Crohn's disease is that it can affect multiple layers of the intestinal wall, which can lead to complications such as strictures (narrowing of the intestine), fistulas (abnormal connections between different parts of the intestine or between the intestine and other organs), and abscesses (collections of pus). These complications can occur anywhere in the digestive tract, but they are particularly common in the perianal area (around the anus). Treatment for Crohn's disease typically involves medications such as corticosteroids, immunosuppressants, or biologic agents, as well as lifestyle modifications such as dietary changes and stress management. In severe cases, surgery may be necessary to remove damaged portions of the digestive tract.",False,What is pyoderma gangrenosum and how is it associated with Crohn's disease? How long does the condition typically progress for?,0.12162849316734356,0.0036236640608479265
,"The recommended next step in management for a hemodynamically stable patient with penetrating abdominal trauma, rebound tenderness, and guarding is exploratory laparotomy. This is a surgical procedure that involves making an incision in the abdomen to visually inspect the internal organs for any signs of injury or bleeding. It is considered the gold standard for diagnosing and treating abdominal trauma, and can help identify and address any life-threatening injuries. During the procedure, the surgeon may also repair any damaged organs or blood vessels, and remove any foreign objects that may have caused the trauma. After the surgery, the patient will be closely monitored in the intensive care unit and may require additional treatment such as blood transfusions or mechanical ventilation.","Predicted Answer    The cytoplasm is a cytoplasmic cytoplasm that ...
Name: 21, dtype: object","The recommended next step for a hemodynamically unstable patient with blunt abdominal trauma and a positive FAST examination indicating the presence of free intraperitoneal fluid is to perform an exploratory laparotomy. This is a surgical procedure where an incision is made in the abdomen to visually inspect the organs and tissues for any signs of injury or bleeding. If any injuries are found, they can be repaired or treated during the same procedure. Exploratory laparotomy is considered the gold standard for diagnosing and treating intra-abdominal injuries in hemodynamically unstable patients. It is important to follow up with the healthcare provider to ensure appropriate management and monitoring of the patient's condition.",False,"In a hemodynamically stable patient with penetrating abdominal trauma, rebound tenderness, and guarding, what is the recommended next step in management?",0.04652855583783293,0.003651648100653898
,"Parasomnias are a group of sleep disorders that involve abnormal behaviors or movements during sleep, such as sleepwalking, night terrors, and bedwetting. These disorders can be particularly common in children, and may be caused by a variety of factors including genetics, stress, and sleep deprivation. Treatment for parasomnias in children may involve a variety of approaches, including behavioral interventions, such as improving sleep hygiene and reducing stress, as well as medication. Benzodiazepines, a class of medications commonly used to treat anxiety and insomnia, may be used to treat parasomnias in children by reducing the frequency and severity of episodes. However, these medications can also have significant side effects and risks, particularly when used in children, so it is important to carefully consider the risks and benefits of treatment.","Predicted Answer    chromosome
Name: 22, dtype: object","Parasomnias are a group of sleep disorders that involve abnormal behaviors or movements during sleep, such as sleepwalking, night terrors, and bedwetting. These disorders can be particularly common in children, and may be caused by a variety of factors including genetics, stress, and sleep deprivation. Treatment for parasomnias in children may involve a variety of approaches, including behavioral interventions, such as improving sleep hygiene and reducing stress, as well as medication. Benzodiazepines, a class of medications commonly used to treat anxiety and insomnia, may be used to treat parasomnias in children by reducing the frequency and severity of episodes. However, these medications can also have significant side effects and risks, particularly when used in children, so it is important to carefully consider the risks and benefits of treatment.",True,"What are parasomnias in children, and how may they be treated?",0.02003910377339618,0.0012222212458547163
,"Osteogenesis imperfecta is a genetic disorder that affects the bones, causing them to be brittle and prone to fracture. A common presenting symptom associated with it is blue sclerae, which is due to translucent connective tissue over choroidal veins.","Predicted Answer    Cystinuria is a condition that causes a rash o...
Name: 23, dtype: object",Osteitis Fibrosa Cystica is a bone disease that is most commonly associated with both primary and secondary hyperparathyroidism.,False,"What is osteogenesis imperfecta, and what is a common presenting symptom associated with it?",0.17071925346940142,0.0107801449228252
,"The recommended treatment of choice for Malassezia furfur (M. furfur) infection is selenium sulfide, which is commonly found in medicated shampoos like Selsun Blue.","Predicted Answer    telomerase is a cytokine that is responsible f...
Name: 24, dtype: object","The treatment options for Malassezia furfur infections include topical azoles or selenium sulfide (selsun blue). Malassezia furfur is a type of yeast that can cause a range of skin and systemic infections, including Pityriasis Versicolor. Topical azoles, such as ketoconazole or clotrimazole, are antifungal medications that can be applied directly to the affected area to treat Malassezia furfur infections. Selenium sulfide, which is found in products like Selsun Blue, is another treatment option that can help to control the growth of Malassezia furfur on the skin. In some cases, oral antifungal medications may also be prescribed to treat more severe or widespread Malassezia furfur infections.",False,What is the recommended treatment of choice for Malassezia furfur (M. furfur) infection?,0.13456927127624632,0.008839374326825921
,"Protein, specifically amino acids, is known to stimulate the secretion of gastrin. Gastrin is a hormone that is produced by cells in the stomach and plays a role in regulating the secretion of gastric acid and the motility of the gastrointestinal tract. In response to the presence of protein in the stomach, gastrin is released to stimulate the secretion of gastric acid, which helps to break down the protein into its constituent amino acids. While glucose and fat can also stimulate the secretion of gastrin to some extent, protein is the most potent stimulator of this hormone.","Predicted Answer    Coxsackie B is a genus of fungi in the family ...
Name: 25, dtype: object",Gastrin can increase growth of gastric mucosa and parietal cells in the digestive system.,False,What nutrient is known to stimulate the secretion of gastrin?,0.06310101730469224,0.005632534745296971
,Patients taking Azathioprine / 6MP are predisposed to reactivation of Herpes Zoster or exacerbation of chronic viral Hepatitis.,"Predicted Answer    odontoblasts
Name: 26, dtype: object","As per the information provided, Azathioprine/6-MP have an immunosuppressive effect, which is why they are useful in the treatment of graft rejection, SLE, autoimmune hemolytic anemia, etc.",False,What viral infections are patients taking Azathioprine / 6MP predisposed to reactivation or exacerbation of?,-0.0625470661915585,0.0
,"The first step in managing GERD is to prescribe a PPI. In cases where GERD is accompanied by alarm symptoms such as weight loss or GI bleed, an endoscopy (for biopsy) is recommended. In cases of GERD with complications such as stricture, Barrett's esophagus, or refractory GERD, surgery (Nissen fundoplication) may be necessary.","Predicted Answer    a syringe
Name: 27, dtype: object",Nissen fundoplication is the surgical treatment option for GERD in patients who cannot tolerate or do not want to take PPIs.,False,What are the management options for GERD based on different scenarios?,0.13279973416237073,0.003330819561259882
,"The dietary recommendations for patients with renal calculi include increased fluid intake, decreased sodium intake, and normal calcium intake. These measures can help prevent the formation of new stones and reduce the risk of recurrence.","Predicted Answer    Poor maternal glucose control during pregnancy...
Name: 28, dtype: object","Chronic renal disease is characterized by hypo-calcemia, which means that there are abnormally low levels of calcium in the blood. This is because the kidneys play an important role in regulating the balance of minerals in the body, including calcium. When the kidneys are not functioning properly, they may not be able to activate vitamin D, which is necessary for the absorption of calcium from the intestines. This can lead to a deficiency of calcium in the blood, which can have a range of effects on the body, including contributing to the development of bone disease, muscle weakness, and other complications. Managing calcemia is an important part of treating chronic renal disease and can involve a range of interventions, such as vitamin D supplements, calcium supplements, and dialysis.",False,What are the dietary recommendations for patients with renal calculi?,0.09899517934368421,0.004744188024111083
,"Scleroderma (systemic sclerosis) may cause restrictive cardiomyopathy. Scleroderma is a chronic autoimmune disease that can affect multiple organs and tissues in the body, including the heart. In some cases, scleroderma can cause restrictive cardiomyopathy, which is a type of heart disease that occurs when the heart muscle becomes stiff and cannot fill properly with blood. This can lead to symptoms such as shortness of breath, fatigue, and swelling in the legs and feet. Treatment for restrictive cardiomyopathy may include medications to manage symptoms, lifestyle modifications such as a low-salt diet and exercise, and in some cases, heart transplantation.","Predicted Answer    Blood transfusion therapy
Name: 29, dtype: object","Scleroderma is characterized by fibroblast activation with resultant collagen deposition. Scleroderma is a chronic autoimmune disease that can affect multiple organs and tissues in the body, including the skin, lungs, heart, and gastrointestinal tract. The hallmark feature of scleroderma is the overproduction and accumulation of collagen, which causes the skin and other tissues to become thickened and hardened. This process can also cause scarring and damage to internal organs, which can result in serious complications. Other features of scleroderma may include Raynaud's phenomenon, digital ulcers, joint pain and stiffness, and gastrointestinal problems. Treatment for scleroderma may include medications to control symptoms, immunosuppressive therapy to slow disease progression, and lifestyle modifications to manage complications.",False,What type of cardiomyopathy can be caused by scleroderma (systemic sclerosis)?,0.1402757275920441,0.0015807708760779049
,Acute kidney injury causes a metabolic acidosis and hyperkalemia.,"Predicted Answer    Hypertension is the most common cause of porta...
Name: 30, dtype: object","Hyperkalemic renal tubular acidosis is a medical condition that can be characterized by a urine pH that is less than 5.5. This condition is caused by a defect in the kidneys that impairs their ability to acidify urine, leading to a buildup of acid in the blood. Hyperkalemic renal tubular acidosis can be caused by a variety of factors, including genetic mutations, autoimmune disorders, and certain medications. Symptoms of this condition may include weakness, fatigue, muscle cramps, and irregular heartbeat. Treatment for hyperkalemic renal tubular acidosis typically involves addressing the underlying cause and may include medications to help regulate acid-base balance in the body. It is important to seek medical attention if you are experiencing symptoms of this condition, as it can lead to serious complications if left untreated.",False,What are the metabolic consequences of acute kidney injury?,0.2593844809531759,0.0
,The likely diagnosis for the patient's condition is Legg-Calvé-Perthes disease.,"Predicted Answer    hepatitis
Name: 31, dtype: object",The likely diagnosis in this patient is cancer.,False,"What could be the possible diagnosis for a young boy who presents with two months of progressive hip pain and limited internal rotation/abduction of the affected hip, suggestive of a condition affecting the hip joint and its range of motion?",0.16619869188199488,0.0
,Kaposi sarcoma is the most common type of cancer in AIDS patients.,"Predicted Answer    Cyclopse poisoning is a common clinical featur...
Name: 32, dtype: object","Kaposi sarcoma has a lymphocytic infiltrate, which distinguishes it from bacillary angiomatosis. Kaposi sarcoma is a type of cancer that affects the cells that line blood vessels. It is commonly seen in individuals with weakened immune systems, such as those with HIV/AIDS. Bacillary angiomatosis, on the other hand, is a bacterial infection caused by Bartonella henselae or Bartonella quintana, which can also occur in individuals with weakened immune systems. Both Kaposi sarcoma and bacillary angiomatosis can cause skin lesions, but the lymphocytic infiltrate seen in Kaposi sarcoma is not present in bacillary angiomatosis. Instead, bacillary angiomatosis is characterized by a neutrophilic infiltrate. Treatment for both conditions may involve antibiotics, chemotherapy, or other medications depending on the severity of the disease.",False,"Among AIDS patients, which type of cancer is the most common?",0.06914613785979429,0.013583106526228583
